Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS1061	'TokenManager' does not contain a definition for 'ClearTokenAsync' and no accessible extension method 'ClearTokenAsync' accepting a first argument of type 'TokenManager' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	518	
Error (active)	CS1061	'TokenManager' does not contain a definition for 'ClearTokenAsync' and no accessible extension method 'ClearTokenAsync' accepting a first argument of type 'TokenManager' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	529	
Error (active)	CS1061	'TokenManager' does not contain a definition for 'ClearTokenAsync' and no accessible extension method 'ClearTokenAsync' accepting a first argument of type 'TokenManager' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	539	
Error (active)	CS1061	'TokenManager' does not contain a definition for 'ClearTokenAsync' and no accessible extension method 'ClearTokenAsync' accepting a first argument of type 'TokenManager' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Profile.razor	269	
Error (active)	CS1061	'TokenManager' does not contain a definition for 'ClearTokenAsync' and no accessible extension method 'ClearTokenAsync' accepting a first argument of type 'TokenManager' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Profile.razor	299	
Error (active)	CS1061	'TokenManager' does not contain a definition for 'ClearTokenAsync' and no accessible extension method 'ClearTokenAsync' accepting a first argument of type 'TokenManager' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Profile.razor	309	
Error (active)	CS1061	'TokenManager' does not contain a definition for 'ClearTokenAsync' and no accessible extension method 'ClearTokenAsync' accepting a first argument of type 'TokenManager' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Auth\Login.razor	186	
Error (active)	CS1061	'TokenManager' does not contain a definition for 'ClearTokenAsync' and no accessible extension method 'ClearTokenAsync' accepting a first argument of type 'TokenManager' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Auth\Login.razor	192	
Error (active)	WMC1006	Cannot resolve Assembly or Windows Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\bin\Release\net9.0\Ashare.Shared.dll'	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\Ashare.App.csproj	1	
Error		error MT1006: Could not install the application '/Users/ashareapp/Library/Caches/maui/PairToMac/Builds/Ashare.App/ea1fa5a9b4905ed509d4246f8d94ecddf2719432a1a6284e1f0e195c7fa826d0/bin/Release/net9.0-ios/ios-arm64/Ashare.App.app' on the device '‏ iPhone الخاص بـAshare App': One or more errors occurred. (Failed to execute 'devicectl': 'devicectl -j /var/folders/c4/zgcfxwn92qx1md8n99f5ncg00000gn/T/tmpfEpRgJ.tmp device install app --device "‏ iPhone الخاص بـAshare App" /Users/ashareapp/Library/Caches/maui/PairToMac/Builds/Ashare.App/ea1fa5a9b4905ed509d4246f8d94ecddf2719432a1a6284e1f0e195c7fa826d0/bin/Release/net9.0-ios/ios-arm64/Ashare.App.app' returned the exit code 1.) (Additional output: xcrun devicectl -j /var/folders/c4/zgcfxwn92qx1md8n99f5ncg00000gn/T/tmpfEpRgJ.tmp device install app --device "‏ iPhone الخاص بـAshare App" /Users/ashareapp/Library/Caches/maui/PairToMac/Builds/Ashare.App/ea1fa5a9b4905ed509d4246f8d94ecddf2719432a1a6284e1f0e195c7fa826d0/bin/Release/net9.0-ios/ios-arm64/Ashare.App.app) (Additional output: ERROR: Failed to install the app on the device. (com.apple.dt.CoreDeviceError error 3002 (0xBBA))) (Additional output:        NSURL = file:///Users/ashareapp/Library/Caches/maui/PairToMac/Builds/Ashare.App/ea1fa5a9b4905ed509d4246f8d94ecddf2719432a1a6284e1f0e195c7fa826d0/bin/Release/net9.0-ios/ios-arm64/Ashare.App.app/) (Additional output:        ----------------------------------------) (Additional output:            ???? ????? "Ashare" (IXUserPresentableErrorDomain error 14 (0x0E))) (Additional output:            NSLocalizedFailureReason = ?? ???? ????? ??? ??????? ????? ?????? ?? ?????.) (Additional output:            NSLocalizedRecoverySuggestion = Failed to install embedded profile for com.ashare.ashare : 0xe800801f (Attempted to install a Beta profile without the proper entitlement.)) (Additional output:        ----------------------------------------) (Additional output:                Failed to install embedded profile for com.ashare.ashare : 0xe800801f (Attempted to install a Beta profile without the proper entitlement.) (MIInstallerErrorDomain error 13 (0x0D))) (Additional output:                SourceFileLine = 330) (Additional output:                LegacyErrorString = ApplicationVerificationFailed) (Additional output:                LibMISErrorNumber = -402620385) (Additional output:                FunctionName = -[MIInstallableBundle _installEmbeddedProfilesWithError:]) (Additional output: 12:43:43  Acquired tunnel connection to device.) (Additional output: 12:43:43  Enabling developer disk image services.) (Additional output: 12:43:43  Acquired usage assertion.).		 	0	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\bin\Release\net9.0\Ashare.Shared.dll' could not be found	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
